Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-05 08:00:00,USA,New York Independent System Operator,US-NY-NYIS,182.05,236.58,61.79,32.28,nyiso.com,false,
2022-01-05 09:00:00,USA,New York Independent System Operator,US-NY-NYIS,179.67,234.42,61.78,32.62,nyiso.com,false,
2022-01-05 10:00:00,USA,New York Independent System Operator,US-NY-NYIS,179.42,233.85,61.99,33.04,nyiso.com,false,
2022-01-05 11:00:00,USA,New York Independent System Operator,US-NY-NYIS,186.29,242.74,60.07,32.7,nyiso.com,false,
2022-01-05 12:00:00,USA,New York Independent System Operator,US-NY-NYIS,195.2,254.14,57.85,32.51,nyiso.com,false,
2022-01-05 13:00:00,USA,New York Independent System Operator,US-NY-NYIS,203.94,264.22,56.5,32.15,nyiso.com,false,
2022-01-05 14:00:00,USA,New York Independent System Operator,US-NY-NYIS,204.2,264.38,56.76,33.17,nyiso.com,false,
2022-01-05 15:00:00,USA,New York Independent System Operator,US-NY-NYIS,206.58,268.11,55.61,32.61,nyiso.com,false,
2022-01-05 16:00:00,USA,New York Independent System Operator,US-NY-NYIS,207.42,270.43,54.34,31.71,nyiso.com,false,
2022-01-05 17:00:00,USA,New York Independent System Operator,US-NY-NYIS,204.25,266.02,55.36,31.95,nyiso.com,false,
2022-01-05 18:00:00,USA,New York Independent System Operator,US-NY-NYIS,204.57,265.26,56.28,32.56,nyiso.com,false,
2022-01-05 19:00:00,USA,New York Independent System Operator,US-NY-NYIS,196.64,256.35,57.5,33.8,nyiso.com,false,
2022-01-05 20:00:00,USA,New York Independent System Operator,US-NY-NYIS,198.32,259.15,56.72,34.09,nyiso.com,false,
2022-01-05 21:00:00,USA,New York Independent System Operator,US-NY-NYIS,204.05,266.21,55.38,33.17,nyiso.com,false,
2022-01-05 22:00:00,USA,New York Independent System Operator,US-NY-NYIS,204.1,266.84,54.95,33.53,nyiso.com,false,
2022-01-05 23:00:00,USA,New York Independent System Operator,US-NY-NYIS,202.62,265.28,55.02,33.57,nyiso.com,false,
2022-01-06 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,199.87,261.51,56.0,34.37,nyiso.com,false,
2022-01-06 01:00:00,USA,New York Independent System Operator,US-NY-NYIS,190.27,250.43,57.65,35.41,nyiso.com,false,
2022-01-06 02:00:00,USA,New York Independent System Operator,US-NY-NYIS,183.13,241.42,59.4,36.13,nyiso.com,false,
2022-01-06 03:00:00,USA,New York Independent System Operator,US-NY-NYIS,181.21,237.77,60.59,35.46,nyiso.com,false,
2022-01-06 04:00:00,USA,New York Independent System Operator,US-NY-NYIS,181.77,238.29,60.38,33.47,nyiso.com,false,
2022-01-06 05:00:00,USA,New York Independent System Operator,US-NY-NYIS,173.91,229.03,61.81,34.73,nyiso.com,false,
2022-01-06 06:00:00,USA,New York Independent System Operator,US-NY-NYIS,167.03,220.61,63.33,35.89,nyiso.com,false,
2022-01-06 07:00:00,USA,New York Independent System Operator,US-NY-NYIS,161.92,214.35,64.41,36.76,nyiso.com,false,
2022-01-06 08:00:00,USA,New York Independent System Operator,US-NY-NYIS,160.66,212.95,64.44,36.46,nyiso.com,false,
2022-01-06 09:00:00,USA,New York Independent System Operator,US-NY-NYIS,161.35,214.21,64.15,36.84,nyiso.com,false,
2022-01-06 10:00:00,USA,New York Independent System Operator,US-NY-NYIS,169.82,225.28,61.87,36.21,nyiso.com,false,
2022-01-06 11:00:00,USA,New York Independent System Operator,US-NY-NYIS,179.23,237.48,59.5,35.86,nyiso.com,false,
2022-01-06 12:00:00,USA,New York Independent System Operator,US-NY-NYIS,194.61,256.24,56.2,33.91,nyiso.com,false,
2022-01-06 13:00:00,USA,New York Independent System Operator,US-NY-NYIS,200.18,263.47,54.73,33.94,nyiso.com,false,
2022-01-06 14:00:00,USA,New York Independent System Operator,US-NY-NYIS,201.51,265.05,54.46,33.6,nyiso.com,false,
2022-01-06 15:00:00,USA,New York Independent System Operator,US-NY-NYIS,202.52,265.71,54.72,34.04,nyiso.com,false,
2022-01-06 16:00:00,USA,New York Independent System Operator,US-NY-NYIS,201.07,263.52,55.33,34.21,nyiso.com,false,
2022-01-06 17:00:00,USA,New York Independent System Operator,US-NY-NYIS,195.98,256.9,56.84,34.87,nyiso.com,false,
2022-01-06 18:00:00,USA,New York Independent System Operator,US-NY-NYIS,202.36,265.02,55.25,33.68,nyiso.com,false,
2022-01-06 19:00:00,USA,New York Independent System Operator,US-NY-NYIS,207.77,272.09,53.8,32.59,nyiso.com,false,
2022-01-06 20:00:00,USA,New York Independent System Operator,US-NY-NYIS,212.05,277.54,52.74,31.28,nyiso.com,false,
2022-01-06 21:00:00,USA,New York Independent System Operator,US-NY-NYIS,219.64,286.95,50.81,28.95,nyiso.com,false,
2022-01-06 22:00:00,USA,New York Independent System Operator,US-NY-NYIS,225.89,295.2,49.01,28.06,nyiso.com,false,
2022-01-06 23:00:00,USA,New York Independent System Operator,US-NY-NYIS,227.63,296.47,49.32,28.35,nyiso.com,false,
2022-01-07 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,227.18,295.62,49.66,28.32,nyiso.com,false,
2022-01-07 01:00:00,USA,New York Independent System Operator,US-NY-NYIS,220.66,288.3,50.65,29.16,nyiso.com,false,
2022-01-07 02:00:00,USA,New York Independent System Operator,US-NY-NYIS,209.41,274.81,53.08,31.04,nyiso.com,false,
2022-01-07 03:00:00,USA,New York Independent System Operator,US-NY-NYIS,201.76,265.17,54.99,31.79,nyiso.com,false,
2022-01-07 04:00:00,USA,New York Independent System Operator,US-NY-NYIS,196.94,258.9,56.23,31.62,nyiso.com,false,
2022-01-07 05:00:00,USA,New York Independent System Operator,US-NY-NYIS,198.9,261.75,55.38,30.69,nyiso.com,false,
2022-01-07 06:00:00,USA,New York Independent System Operator,US-NY-NYIS,196.96,259.38,55.8,30.55,nyiso.com,false,
2022-01-07 07:00:00,USA,New York Independent System Operator,US-NY-NYIS,194.88,256.53,56.51,30.87,nyiso.com,false,
2022-01-07 08:00:00,USA,New York Independent System Operator,US-NY-NYIS,196.76,258.66,56.23,30.56,nyiso.com,false,
2022-01-07 09:00:00,USA,New York Independent System Operator,US-NY-NYIS,198.76,260.93,55.95,30.74,nyiso.com,false,
2022-01-07 10:00:00,USA,New York Independent System Operator,US-NY-NYIS,206.6,270.73,53.99,29.32,nyiso.com,false,
2022-01-07 11:00:00,USA,New York Independent System Operator,US-NY-NYIS,210.53,275.92,52.9,30.01,nyiso.com,false,
2022-01-07 12:00:00,USA,New York Independent System Operator,US-NY-NYIS,215.9,282.55,51.68,30.14,nyiso.com,false,
2022-01-07 13:00:00,USA,New York Independent System Operator,US-NY-NYIS,219.84,287.39,50.82,30.16,nyiso.com,false,
2022-01-07 14:00:00,USA,New York Independent System Operator,US-NY-NYIS,223.21,291.39,50.08,29.54,nyiso.com,false,
2022-01-07 15:00:00,USA,New York Independent System Operator,US-NY-NYIS,215.49,282.57,51.41,31.48,nyiso.com,false,
2022-01-07 16:00:00,USA,New York Independent System Operator,US-NY-NYIS,224.67,293.3,49.72,29.56,nyiso.com,false,
2022-01-07 17:00:00,USA,New York Independent System Operator,US-NY-NYIS,223.26,291.67,49.87,29.97,nyiso.com,false,
2022-01-07 18:00:00,USA,New York Independent System Operator,US-NY-NYIS,215.82,282.71,51.37,31.4,nyiso.com,false,
2022-01-07 19:00:00,USA,New York Independent System Operator,US-NY-NYIS,209.71,275.88,52.19,32.3,nyiso.com,false,
2022-01-07 20:00:00,USA,New York Independent System Operator,US-NY-NYIS,209.27,275.25,52.27,32.27,nyiso.com,false,
2022-01-07 21:00:00,USA,New York Independent System Operator,US-NY-NYIS,206.84,272.66,52.57,33.33,nyiso.com,false,
2022-01-07 22:00:00,USA,New York Independent System Operator,US-NY-NYIS,206.5,272.92,52.2,33.84,nyiso.com,false,
2022-01-07 23:00:00,USA,New York Independent System Operator,US-NY-NYIS,209.29,276.54,51.47,33.3,nyiso.com,false,
2022-01-08 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,210.03,276.99,51.64,33.37,nyiso.com,false,
2022-01-08 01:00:00,USA,New York Independent System Operator,US-NY-NYIS,206.06,272.09,52.51,33.61,nyiso.com,false,
2022-01-08 02:00:00,USA,New York Independent System Operator,US-NY-NYIS,205.65,271.33,52.76,33.39,nyiso.com,false,
2022-01-08 03:00:00,USA,New York Independent System Operator,US-NY-NYIS,199.63,263.71,54.19,33.56,nyiso.com,false,
2022-01-08 04:00:00,USA,New York Independent System Operator,US-NY-NYIS,195.26,258.17,55.27,33.64,nyiso.com,false,
2022-01-08 05:00:00,USA,New York Independent System Operator,US-NY-NYIS,196.23,256.47,57.13,32.91,nyiso.com,false,
2022-01-08 06:00:00,USA,New York Independent System Operator,US-NY-NYIS,193.9,253.58,57.69,32.69,nyiso.com,false,
2022-01-08 07:00:00,USA,New York Independent System Operator,US-NY-NYIS,194.03,253.57,57.78,32.18,nyiso.com,false,
2022-01-08 08:00:00,USA,New York Independent System Operator,US-NY-NYIS,196.31,256.33,57.38,32.18,nyiso.com,false,
2022-01-08 09:00:00,USA,New York Independent System Operator,US-NY-NYIS,194.98,254.95,57.45,31.64,nyiso.com,false,
2022-01-08 10:00:00,USA,New York Independent System Operator,US-NY-NYIS,198.37,259.32,56.42,29.84,nyiso.com,false,
2022-01-08 11:00:00,USA,New York Independent System Operator,US-NY-NYIS,204.32,266.47,55.43,30.64,nyiso.com,false,
2022-01-08 12:00:00,USA,New York Independent System Operator,US-NY-NYIS,202.36,265.16,55.11,31.1,nyiso.com,false,
2022-01-08 13:00:00,USA,New York Independent System Operator,US-NY-NYIS,211.68,275.45,53.93,30.64,nyiso.com,false,
2022-01-08 14:00:00,USA,New York Independent System Operator,US-NY-NYIS,213.56,278.01,53.52,30.81,nyiso.com,false,
2022-01-08 15:00:00,USA,New York Independent System Operator,US-NY-NYIS,218.51,284.59,52.1,30.41,nyiso.com,false,
2022-01-08 16:00:00,USA,New York Independent System Operator,US-NY-NYIS,217.02,282.41,52.55,29.73,nyiso.com,false,
2022-01-08 17:00:00,USA,New York Independent System Operator,US-NY-NYIS,219.86,285.61,52.03,28.68,nyiso.com,false,
2022-01-08 18:00:00,USA,New York Independent System Operator,US-NY-NYIS,218.09,283.47,52.31,28.67,nyiso.com,false,
2022-01-08 19:00:00,USA,New York Independent System Operator,US-NY-NYIS,215.18,280.34,52.5,28.57,nyiso.com,false,
2022-01-08 20:00:00,USA,New York Independent System Operator,US-NY-NYIS,220.66,287.48,50.8,26.99,nyiso.com,false,
2022-01-08 21:00:00,USA,New York Independent System Operator,US-NY-NYIS,222.54,290.2,50.18,28.18,nyiso.com,false,
2022-01-08 22:00:00,USA,New York Independent System Operator,US-NY-NYIS,224.43,292.43,49.84,29.21,nyiso.com,false,
2022-01-08 23:00:00,USA,New York Independent System Operator,US-NY-NYIS,217.91,285.21,50.68,30.43,nyiso.com,false,
2022-01-09 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,217.66,284.79,50.72,30.45,nyiso.com,false,
2022-01-09 01:00:00,USA,New York Independent System Operator,US-NY-NYIS,210.22,275.52,52.47,31.75,nyiso.com,false,
2022-01-09 02:00:00,USA,New York Independent System Operator,US-NY-NYIS,200.3,263.01,54.94,33.6,nyiso.com,false,
2022-01-09 03:00:00,USA,New York Independent System Operator,US-NY-NYIS,195.66,256.56,56.48,34.14,nyiso.com,false,
